Step,Current Distance,Step Time (s),Cumulative Time (s)
1,68.38920289718929,2.8848648071289062e-05,3.0040740966796875e-05
2,180.37953724176953,1.9073486328125e-05,0.00040841102600097656
3,295.78326643706555,1.4543533325195312e-05,0.0006849765777587891
4,524.0705668864774,1.049041748046875e-05,0.0009102821350097656
5,607.834080844563,1.049041748046875e-05,0.0011396408081054688
6,737.322275770038,1.52587890625e-05,0.0013506412506103516
7,834.5603437301352,1.0967254638671875e-05,0.0016336441040039062
8,854.1995253664115,1.0013580322265625e-05,0.0018558502197265625
9,965.2810683878661,9.775161743164062e-06,0.0020627975463867188
10,1107.6249076947643,1.1444091796875e-05,0.002406597137451172
11,1137.584513670286,1.0251998901367188e-05,0.002627849578857422
12,1160.9531144588243,9.298324584960938e-06,0.0028314590454101562
13,1243.992618133887,8.821487426757812e-06,0.0030155181884765625
14,1275.6121176684146,8.58306884765625e-06,0.0032057762145996094
15,1334.0665300450526,9.059906005859375e-06,0.0033948421478271484
16,1479.5911975266208,8.58306884765625e-06,0.003574371337890625
17,1590.885382294341,8.106231689453125e-06,0.0037584304809570312
18,1655.101533869954,7.867813110351562e-06,0.003949880599975586
19,1804.514384677594,8.106231689453125e-06,0.0041408538818359375
20,1841.104713036028,7.62939453125e-06,0.004317045211791992
21,1967.3798036964165,7.3909759521484375e-06,0.004497051239013672
22,2135.066663679204,7.3909759521484375e-06,0.004675626754760742
23,2165.8902044741512,7.152557373046875e-06,0.0048487186431884766
24,2227.6543200644733,7.3909759521484375e-06,0.005021810531616211
25,2321.682642045904,6.9141387939453125e-06,0.005208730697631836
26,2347.2042089968795,6.67572021484375e-06,0.005382061004638672
27,2402.007408443494,6.67572021484375e-06,0.005554914474487305
28,2492.1985087474627,6.198883056640625e-06,0.005727052688598633
29,2602.976920465866,6.4373016357421875e-06,0.00590825080871582
30,2702.8751457966205,6.198883056640625e-06,0.006087064743041992
31,2813.087248677911,6.198883056640625e-06,0.006277799606323242
32,2863.0003608588413,1.0967254638671875e-05,0.00645899772644043
33,2926.1590856708726,5.9604644775390625e-06,0.006636857986450195
34,3047.865708121235,5.7220458984375e-06,0.006808757781982422
35,3097.499694655883,8.106231689453125e-06,0.0070874691009521484
36,3236.4521092966875,7.3909759521484375e-06,0.007319927215576172
37,3429.339606252034,7.152557373046875e-06,0.007669210433959961
38,3946.524097765978,6.4373016357421875e-06,0.007891416549682617
39,4030.45385444242,5.0067901611328125e-06,0.008084535598754883
40,4147.639580342443,5.245208740234375e-06,0.008260726928710938
41,4266.466921456031,4.76837158203125e-06,0.008439064025878906
42,4483.931160456574,6.198883056640625e-06,0.008646011352539062
43,4540.274431768348,4.76837158203125e-06,0.008868217468261719
44,4811.982225086364,4.291534423828125e-06,0.009050846099853516
45,4901.466884155875,4.0531158447265625e-06,0.009235620498657227
46,5116.459170385683,4.291534423828125e-06,0.009456157684326172
47,5338.737841588655,3.5762786865234375e-06,0.009675741195678711
48,5772.198847222145,3.337860107421875e-06,0.009855270385742188
49,6245.937086187097,3.0994415283203125e-06,0.010032415390014648
